Loviflo  ;14;11;4;12;7;18;;;;28;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:15:30  ;  00:01:08  ;  00:11:25  ;  8 : 8 
Ilesis  ;15;8;2;10;1;62;;;;18;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:15:30  ;  00:01:08  ;  00:11:25  ;  8 : 8 
xxth.  ;57;12;3;12;3;33;;;;27;Gold Nova 2            ;  Cobblestone  ;   2021-02-07 18:15:30  ;  00:01:08  ;  00:11:25  ;  8 : 8 
Seee  ;47;8;2;9;5;70;;;;18;Supreme Elite          ;  Cobblestone  ;   2021-02-07 18:15:30  ;  00:01:08  ;  00:11:25  ;  8 : 8 
Loviflo  ;31;12;3;8;8;58;;;;27;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:00:10  ;  00:00:35  ;  00:11:44  ;  9 : 5 
Ilesis  ;31;7;1;8;1;14;;;;17;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:00:10  ;  00:00:35  ;  00:11:44  ;  9 : 5 
Racc0оN  ;75;8;2;9;3;37;;;;24;Master Guardian 2      ;  Nuke  ;   2021-02-07 18:00:10  ;  00:00:35  ;  00:11:44  ;  9 : 5 
Slappy  ;71;8;1;10;2;50;;;;17;Unrank                 ;  Nuke  ;   2021-02-07 18:00:10  ;  00:00:35  ;  00:11:44  ;  9 : 5 
Sq1zy  ;11;12;1;6;4;50;;;;31;Legendary Eagle Master ;  Nuke  ;   2021-02-07 17:42:26  ;  00:00:21  ;  00:13:47  ;  9 : 6 
Пупсяра  ;13;8;4;11;5;75;;;;20;Legendary Eagle Master ;  Nuke  ;   2021-02-07 17:42:26  ;  00:00:21  ;  00:13:47  ;  9 : 6 
Loviflo  ;25;13;1;9;5;46;;;;29;Legendary Eagle        ;  Nuke  ;   2021-02-07 17:42:26  ;  00:00:21  ;  00:13:47  ;  9 : 6 
Ilesis  ;29;4;5;11;1;50;;;;15;Legendary Eagle        ;  Nuke  ;   2021-02-07 17:42:26  ;  00:00:21  ;  00:13:47  ;  9 : 6 
wow  ;45;10;4;6;6;30;;;;24;Legendary Eagle Master ;  Nuke  ;   2021-02-07 17:28:42  ;  00:00:14  ;  00:10:49  ;  9 : 3 
Rayen  ;47;10;0;5;3;30;;;;20;Legendary Eagle Master ;  Nuke  ;   2021-02-07 17:28:42  ;  00:00:14  ;  00:10:49  ;  9 : 3 
Ilesis  ;24;6;0;10;1;16;;;;12;Legendary Eagle        ;  Nuke  ;   2021-02-07 17:28:42  ;  00:00:14  ;  00:10:49  ;  9 : 3 
